generation,pop,opt,phen
200102,1,-4,-2.4232
200102,1,-4,-1.22915
200102,1,-4,-1.83943
200102,1,-4,0
200102,1,-4,-3.01182
200102,1,-4,-3.72651
200102,1,-4,-3.64275
200102,1,-4,-2.49819
200102,1,-4,-4.24165
200102,1,-4,-2.09703
200102,1,-4,-1.99066
200102,1,-4,-3.24912
200102,1,-4,-0.625063
200102,1,-4,-2.12587
200102,1,-4,-2.85582
200102,1,-4,-1.22982
200102,1,-4,-3.3555
200102,1,-4,-2.80057
200102,1,-4,-2.46935
200102,1,-4,-3.3555
200102,1,-4,-4.45795
200102,1,-4,-2.96219
200102,1,-4,-2.63951
200102,1,-4,-4.45795
200102,1,-4,-2.6808
200102,1,-4,-2.11042
200102,1,-4,-1.63205
200102,1,-4,-1.26459
200102,1,-4,-2.05574
200102,1,-4,-1.23467
200102,1,-4,-3.01687
200102,1,-4,-3.93927
200102,1,-4,-4.35158
200102,1,-4,-3.29042
200102,1,-4,-1.85974
200102,1,-4,-3.05312
200102,1,-4,-1.27597
200102,1,-4,-2.16212
200102,1,-4,-0.666357
200102,1,-4,-1.57835
200102,1,-4,-1.60718
200102,1,-4,-4.08564
200102,1,-4,-3.5718
200102,1,-4,-3.21288
200102,1,-4,-0.403402
200102,1,-4,-0.041294
200102,1,-4,-0.953285
200102,1,-4,-3.05312
200102,1,-4,-3.24912
200102,1,-4,-1.84429
200102,1,-4,-2.4331
200102,1,-4,-0.968736
200102,1,-4,-0.439647
200102,1,-4,-3.65788
200102,1,-4,-2.33713
200102,1,-4,-1.33065
200102,1,-4,-2.16212
200102,1,-4,-3.04826
200102,1,-4,-1.84934
200102,1,-4,-2.98804
200102,1,-4,-1.28935
200102,1,-4,-2.09703
200102,1,-4,-1.1283
200102,1,-4,-2.42825
200102,1,-4,-3.05312
200102,1,-4,-0.679743
200102,1,-4,-2.37842
200102,1,-4,-1.23467
200102,1,-4,-1.25013
200102,1,-4,-1.88073
200102,1,-4,-1.79466
200102,1,-4,-2.33713
200102,1,-4,-1.27597
200102,1,-4,-2.73043
200102,1,-4,-1.85974
200102,1,-4,-2.4331
200102,1,-4,-2.14667
200102,1,-4,-4.45795
200102,1,-4,-1.5421
200102,1,-4,-1.85974
200102,1,-4,-3.87418
200102,1,-4,-2.44351
200102,1,-4,0.472344
200102,1,-4,-3.63689
200102,1,-4,-2.44351
200102,1,-4,-3.83794
200102,1,-4,-3.87418
200102,1,-4,-3.93927
200102,1,-4,-3.5718
200102,1,-4,-3.05312
200102,1,-4,-3.63689
200102,1,-4,-2.46935
200102,1,-4,-0.968736
200102,1,-4,-3.26457
200102,1,-4,-2.47521
200102,1,-4,-1.85974
200102,1,-4,-1.82349
200102,1,-4,-0.413804
200102,1,-4,-1.43068
200102,2,1,-2.33713
200102,2,1,0.186396
200102,2,1,-0.35706
200102,2,1,1.30023
200102,2,1,1.05916
200102,2,1,0.487795
200102,2,1,0.458958
200102,2,1,-0.680818
200102,2,1,-0.349533
200102,2,1,-0.797278
200102,2,1,-1.1283
200102,2,1,-1.2845
200102,2,1,-1.19338
200102,2,1,0.492648
200102,2,1,-2.01445
200102,2,1,-1.45199
200102,2,1,-3.5718
200102,2,1,-0.700733
200102,2,1,-3.01768
200102,2,1,0.0650819
200102,2,1,-0.646053
200102,2,1,1.69256
200102,2,1,1.99413
200102,2,1,-0.0959741
200102,2,1,-2.94189
200102,2,1,-3.26457
200102,2,1,-0.0471531
200102,2,1,-3.01768
200102,2,1,-0.111425
200102,2,1,-1.56697
200102,2,1,0.492648
200102,2,1,-0.639524
200102,2,1,-0.625063
200102,2,1,-1.68673
200102,2,1,-1.43068
200102,2,1,-0.625063
200102,2,1,-1.85974
200102,2,1,-1.16474
200102,2,1,-0.302379
200102,2,1,-1.49576
200102,2,1,0.795027
200102,2,1,-0.927442
200102,2,1,0.901403
200102,2,1,-0.237298
200102,2,1,1.03125
200102,2,1,-2.12587
200102,2,1,-2.18136
200102,2,1,-0.423216
200102,2,1,-2.0616
200102,2,1,-1.77435
200102,2,1,-2.44936
200102,2,1,-0.348722
200102,2,1,-0.933301
200102,2,1,0.675171
200102,2,1,-0.120837
200102,2,1,-3.26457
200102,2,1,-2.44936
200102,2,1,-2.63951
200102,2,1,-0.700733
200102,2,1,0.648851
200102,2,1,-3.01768
200102,2,1,-2.35812
200102,2,1,0.200546
200102,2,1,0.795027
200102,2,1,-2.14699
200102,2,1,-1.75336
200102,2,1,-0.996583
200102,2,1,-1.81844
200102,2,1,-1.27597
200102,2,1,-1.23467
200102,2,1,1.41036
200102,2,1,1.1387
200102,2,1,-1.48742
200102,2,1,-1.21437
200102,2,1,-0.00504878
200102,2,1,-1.1283
200102,2,1,-0.875746
200102,2,1,0.583769
200102,2,1,0.211258
200102,2,1,-2.4232
200102,2,1,-0.343673
200102,2,1,-0.54453
200102,2,1,-0.0622843
200102,2,1,-2.16212
200102,2,1,-1.49576
200102,2,1,-2.05574
200102,2,1,-3.01768
200102,2,1,-1.5421
200102,2,1,-0.0394252
200102,2,1,-2.96219
200102,2,1,0.291791
200102,2,1,0.865158
200102,2,1,-2.66535
200102,2,1,1.39393
200102,2,1,0.281389
200102,2,1,-2.37357
200102,2,1,-1.00699
200102,2,1,-0.302379
200102,2,1,-2.43391
200102,2,1,-1.72472
200102,3,-2,-0.625063
200102,3,-2,-1.53705
200102,3,-2,0.865158
200102,3,-2,-0.332291
200102,3,-2,1.6265
200102,3,-2,0.542475
200102,3,-2,-1.5525
200102,3,-2,0.715484
200102,3,-2,-1.83943
200102,3,-2,-1.83943
200102,3,-2,-0.041294
200102,3,-2,0.595151
200102,3,-2,0.785615
200102,3,-2,0.472344
200102,3,-2,-1.23467
